;Unnamed: 0;Area_Plantio;Perc_Falha;Perc_Infest_Inv;Ciclo;CD_CLAS_DECL;QT_IDMIN_PLA;QT_IDMAX_PLA;CD_SIST_PLAN;Variedade;Estagio;Data_Plantio;Ambiente;Ph;Mo;P;K;Ca;Mg;H_al;Al;S;Na;Sb;Ctc;V;VM;CORR_T;FERT_KG;FERT_L;FUNG_L;HERB_KG;HERB_L;INSET_KG;INSET_L;RESI_M3;RESI_T;Temp_Med;Temp_max;Temp_min;UR_med;UR_max;Ur_min;Vel_vento_ms;Rad_Solar_MJm2;Chuva;EPT_mm;dia;mes;ano
0;0;8.72;0.0086;0.0;18M;1;12;15;6;RB855156;1o. Corte - 18 Meses;17/03/2016;mD;4.55;7.0;28.25;1.155;7.25;5.3;21.51;1.5;0.0;0.0;13.705;35.0;39.0;5.69;0.0;0.0;0.97;0.0;1.14;1.01;1.0;0.0;0.0;0.0;25.71;31.48;21.22;80.27;96.68;57.48;1.1;18.92;393.8;133.36;-1;-1;-1
1;1;7.88;0.027999999999999997;0.0;18M;1;12;15;6;RB855156;Cana Planta - 18 m;23/07/2016;mD;5.05;5.5;3.8;0.755;7.15;4.25;17.04;0.05;0.0;0.0;12.155;29.5;40.5;6.57;0.0;0.0;0.95;0.0;1.22;1.17;1.0;0.0;0.0;0.0;25.71;31.48;21.22;80.27;96.68;57.48;1.1;18.92;393.8;133.36;-1;-1;-1
2;2;4.24;0.0014;0.0;18M;1;12;15;6;RB966928;Descanso;11/07/2016;mD;4.45;13.0;11.5;1.735;16.895;7.605;22.0;1.11;0.0;0.0;26.235;48.0;54.5;6.96;1.02;0.0;0.0;1.03;1.05;1.01;1.0;1.06;0.0;1.0;24.29;28.87;19.71;83.98;102.72;65.24;1.48;16.96;351.2;106.73;-1;-1;-1
3;3;5.29;0.3009;0.0;18M;1;12;15;6;RB966928;Descanso;28/05/2016;mA;6.6;21.0;25.0;6.66;91.165;34.145;15.5;0.24;0.0;0.0;131.97;147.5;88.5;5.72;0.0;0.0;0.0;0.0;0.0;0.79;0.0;0.0;0.0;0.0;25.83;30.84;20.81;80.06;99.2;60.92;0.73;17.65;379.1;123.4;-1;-1;-1
4;4;3.49;0.0438;0.0;18M;1;12;15;6;RB966928;Descanso;05/07/2016;mG;4.25;28.0;29.0;4.335;17.035;8.255;63.5;12.66;0.0;0.0;29.625;93.0;31.0;5.72;0.0;0.0;0.0;1.0;0.0;0.75;0.99;0.99;0.0;0.0;25.83;30.84;20.81;80.06;99.2;60.92;0.73;17.65;379.1;123.4;-1;-1;-1
5;5;16.17;0.0753;0.0;18M;1;12;15;6;RB966928;Descanso;27/05/2016;mA;4.25;28.0;29.0;4.335;17.035;8.255;63.5;12.66;0.0;0.0;29.625;93.0;31.0;5.93;0.0;0.0;0.0;0.0;0.0;0.81;1.09;0.99;0.0;1.0;25.83;30.84;20.81;80.06;99.2;60.92;0.73;17.65;379.1;123.4;-1;-1;-1
6;6;6.11;0.5455;0.0;18M;2;12;15;6;RB867515;Cana Planta - 18 m;21/03/2016;mD;5.7;11.5;37.0;4.91;24.825;15.41;22.0;0.21;0.0;0.0;45.145;67.5;66.5;6.0;0.0;0.0;0.0;0.0;0.0;1.02;1.12;1.1;0.0;0.0;25.83;30.84;20.81;80.06;99.2;60.92;0.73;17.65;379.1;123.4;-1;-1;-1
7;7;12.3;0.4944;0.0;18M;2;12;15;6;RB867515;Cana Planta - 18 m;17/02/2016;mD;5.35;13.0;33.5;4.495;26.255;15.575;20.0;0.275;0.0;0.0;46.325;66.0;69.5;5.99;0.0;0.0;0.0;0.0;0.0;1.02;1.12;1.1;0.0;0.0;25.83;30.84;20.81;80.06;99.2;60.92;0.73;17.65;379.1;123.4;-1;-1;-1
8;8;16.75;0.3054;0.0;18M;2;12;15;6;RB867515;Cana Planta - 18 m;21/03/2016;mD;5.25;13.5;36.0;4.385;26.76;14.75;19.0;0.21;0.0;0.0;45.895;65.0;70.0;5.65;0.0;0.0;0.0;0.0;0.0;1.04;1.0;1.01;0.0;0.0;25.83;30.84;20.81;80.06;99.2;60.92;0.73;17.65;379.1;123.4;-1;-1;-1
9;9;7.41;0.0014;0.0;Ano;1;5;13;2;CTC9001;Descanso;01/12/2016;ADF;5.8;13.0;4.0;0.325;20.46;9.635;17.0;0.275;0.0;0.0;30.42;47.5;63.0;;1.0;0.0;0.95;0.0;1.0;1.0;0.96;0.94;0.0;0.0;25.93;31.31;21.29;81.54;98.08;61.57;0.97;19.44;267.5;134.18;-1;-1;-1
