"X";"CD_SAFRA";"Perc_Falha";"Perc_Infest_Inv";"Zona";"Nome_Estacao_SM1";"AREA_ha";"CD_AMBIENTE_SOLO";"QT_IDMIN_PLA";"Prof2";"Mo";"K";"Mg";"Al";"Na";"Ctc";"Dt_anal1";"Temp_Med_December";"Temp_Med_October";"Temp_max_December";"Temp_max_October";"Temp_min_December";"Temp_min_October";"UR_med_December";"UR_med_October";"UR_max_December";"UR_max_October";"Ur_min_December";"Ur_min_October";"Vel_vento_ms_December";"Vel_vento_ms_October";"Rad_Solar_MJm2_December";"Rad_Solar_MJm2_October";"Chuva_December";"Chuva_October";"EPT_mm_December";"EPT_mm_October";"CD_SIST_CULT";"Variedade";"Ambiente";"CD_CLAS_DECL";"CD_TEXT_SOLO";"CD_ESTAGIO";"CD_SIST_PLAN";"CD_ESPACAM";"CD_AMBIENTE_PROD";"Temp_Med_August";"Temp_Med_January";"Temp_Med_June";"Temp_Med_May";"Temp_max_August";"Temp_max_January";"Temp_max_June";"Temp_max_May";"Temp_min_August";"Temp_min_January";"Temp_min_June";"Temp_min_May";"UR_med_August";"UR_med_January";"UR_med_June";"UR_med_May";"UR_max_August";"UR_max_January";"UR_max_June";"UR_max_May";"Ur_min_August";"Ur_min_January";"Ur_min_June";"Ur_min_May";"Vel_vento_ms_August";"Vel_vento_ms_January";"Vel_vento_ms_June";"Vel_vento_ms_May";"Rad_Solar_MJm2_August";"Rad_Solar_MJm2_January";"Rad_Solar_MJm2_June";"Rad_Solar_MJm2_May";"Chuva_August";"Chuva_January";"Chuva_June";"Chuva_May";"EPT_mm_August";"EPT_mm_January";"EPT_mm_June";"EPT_mm_May";"FERT_L";"FUNG_L";"HERB_L";"INSET_L";"RESI_M3";"CD_EMPRESA1";"VM";"Data_Plantio";"QT_IDMAX_PLA";"Ph";"P";"Ca";"H_al";"S";"Sb";"V";"Prof1";"Temp_Med_November";"Temp_Med_September";"Temp_max_November";"Temp_max_September";"Temp_min_November";"Temp_min_September";"UR_med_November";"UR_med_September";"UR_max_November";"UR_max_September";"Ur_min_November";"Ur_min_September";"Vel_vento_ms_November";"Vel_vento_ms_September";"Rad_Solar_MJm2_November";"Rad_Solar_MJm2_September";"Chuva_November";"Chuva_September";"EPT_mm_November";"EPT_mm_September";"Area_ha";"Estagio";"CD_TP_SOLO";"CD_CLAS_FERT";"CD_TOPOG";"CD_VARIED";"CD_CICLO_DES";"Temp_Med_April";"Temp_Med_February";"Temp_Med_July";"Temp_Med_March";"Temp_max_April";"Temp_max_February";"Temp_max_July";"Temp_max_March";"Temp_min_April";"Temp_min_February";"Temp_min_July";"Temp_min_March";"UR_med_April";"UR_med_February";"UR_med_July";"UR_med_March";"UR_max_April";"UR_max_February";"UR_max_July";"UR_max_March";"Ur_min_April";"Ur_min_February";"Ur_min_July";"Ur_min_March";"Vel_vento_ms_April";"Vel_vento_ms_February";"Vel_vento_ms_July";"Vel_vento_ms_March";"Rad_Solar_MJm2_April";"Rad_Solar_MJm2_February";"Rad_Solar_MJm2_July";"Rad_Solar_MJm2_March";"Chuva_April";"Chuva_February";"Chuva_July";"Chuva_March";"EPT_mm_April";"EPT_mm_February";"EPT_mm_July";"EPT_mm_March";"CORR_T";"FERT_KG";"HERB_KG";"INSET_KG";"MUDA_PC";"RESI_T";"Fazenda";"Talhao";"INSTANCIA1";"Area_Plantio";"Ciclo"
219;21617;"0.0086";"0";"ade76ff25149e0df3a56010f12ea82fd";"8f5ffaf7540918b622b1e519e4c486fd";5.39;99;12;2;7;1.155;5.3;1.5;0;35;"09/06/2018";27.08;25.24;33.51;32.21;21.15;18.27;73.64;71.75;95.24;95.4;50.47;48.1;1.38;1.42;20.48;19.11;106.1;104.3;154.24;138.8;1;"RB855156";"mD";1;99;2;6;12;14;22.4;25.71;19.89;21.16;30.39;31.48;26.63;27.26;14.4;21.22;13.16;15.35;65.69;80.27;74.85;79.04;91.91;96.68;97.49;98.02;39.47;57.48;52.22;58.58;1.21;1.1;0.99;1.33;15.4;18.92;12.78;12.38;116.7;393.8;53;187.6;105.6;133.36;70.4;79.51;0.97;0;1.01;0;0;"6df7b5c5831fffc7cbce9a00d0cf40b3";5.69;"17/03/2016";15;4.55;28.25;7.25;21.51;0;13.705;39;1;26.4;22.35;32.95;29.69;19.85;15.01;72.55;67.42;95.54;91.5;49.56;43.33;1.3;1.06;20.53;17.64;51.9;71.1;144.6;114.4;34.75;"1o. Corte - 18 Meses";999;99;99;153;2;26.29;27.97;21.16;26.99;34.3;34.44;29.92;33.22;18.6;21.54;12.41;20.77;63.29;75.05;64.51;76.59;91.28;98.14;92.63;98.32;34.47;51.72;36.39;54.86;1.3;0.44;0.99;0.2;19.06;21.16;15.04;17.75;53.7;95.7;8;121.1;128.25;128.95;90.7;114.5;0;0;1.14;1;0;0;"a35d74fdb771def73cb97252b7d150db";"be3c152f6f6bcd5f85f9e4cba49b1e48";"6a8239618d2ca61585a634cb5ef3f530";8.72;"18M"
242;21617;"0.028";"0";"ade76ff25149e0df3a56010f12ea82fd";"8f5ffaf7540918b622b1e519e4c486fd";1.75;99;12;2;5.5;0.755;4.25;0.05;0;29.5;"09/06/2018";27.08;25.24;33.51;32.21;21.15;18.27;73.64;71.75;95.24;95.4;50.47;48.1;1.38;1.42;20.48;19.11;106.1;104.3;154.24;138.8;1;"RB855156";"mD";1;99;50;6;12;14;22.4;25.71;19.89;21.16;30.39;31.48;26.63;27.26;14.4;21.22;13.16;15.35;65.69;80.27;74.85;79.04;91.91;96.68;97.49;98.02;39.47;57.48;52.22;58.58;1.21;1.1;0.99;1.33;15.4;18.92;12.78;12.38;116.7;393.8;53;187.6;105.6;133.36;70.4;79.51;0.95;0;1.17;0;0;"6df7b5c5831fffc7cbce9a00d0cf40b3";6.57;"23/07/2016";15;5.05;3.8;7.15;17.04;0;12.155;40.5;1;26.4;22.35;32.95;29.69;19.85;15.01;72.55;67.42;95.54;91.5;49.56;43.33;1.3;1.06;20.53;17.64;51.9;71.1;144.6;114.4;19.34;"Cana Planta - 18 m";999;99;99;153;2;26.29;27.97;21.16;26.99;34.3;34.44;29.92;33.22;18.6;21.54;12.41;20.77;63.29;75.05;64.51;76.59;91.28;98.14;92.63;98.32;34.47;51.72;36.39;54.86;1.3;0.44;0.99;0.2;19.06;21.16;15.04;17.75;53.7;95.7;8;121.1;128.25;128.95;90.7;114.5;0;0;1.22;1;0;0;"a35d74fdb771def73cb97252b7d150db";"9d08099943f8627959cfb8ecee0d2f5d";"6a8239618d2ca61585a634cb5ef3f530";7.88;"18M"
1485;21617;"0.0014";"0";"7d919225f11eb7af31bf9600b63a7a98";"690e577a0115c853d2233f419c4d3b37";11.91;NA;12;2;13;1.735;7.605;1.11;0;48;"27/12/2016";24.02;22.4;29.15;28.31;18.88;16.49;80.08;76.17;100.35;99.41;59.8;52.35;2.43;3.13;21.56;21.25;123.8;105.3;134.42;136.4;1;"RB966928";"mD";1;99;37;6;12;14;19.55;24.29;17.05;19.13;26.09;28.87;22;23.7;13;19.71;12.11;14.56;72.86;83.98;82.75;83.39;96.99;102.72;99.83;99.96;47.52;65.24;63.27;64.23;2.03;1.48;0.99;1.34;15.89;16.96;12.66;12.21;59.5;351.2;112;96.3;99.85;106.73;57.53;70.86;0;1.03;1.01;1.06;0;"80b0ae73fe0e882b0a24973e4e2c8203";6.96;"11/07/2016";15;4.45;11.5;16.895;22;0;26.235;54.5;1;22.89;20.4;28.5;26.66;17.28;14.14;78.12;72.18;100.76;97.5;55.36;46.85;3.03;2.5;20.77;19.97;88;24.5;135.28;122.12;5.5;"Descanso";72;99;99;196;52;24.38;25.48;18.49;24.84;30.28;30.94;24.93;30.19;18.47;20.02;12.05;19.49;72.91;76.96;72.46;78.39;99.42;100.79;97.72;99.97;44.78;53.14;45.58;62.19;0.92;1.7;1.21;2.2;15.92;20.13;15.25;19.12;15.7;53;5.4;77.2;99.59;119.26;81.79;124.17;1.02;0;1.05;1;0;1;"b5ccb3e35c52f544963d0754ca443df5";"71db8a6cad03244e6e50f0ad8bc95a65";"57ef91593daba4ee47f904e198f60057";4.24;"18M"
1961;21617;"0.3009";"0";"06cd248dd1409b804444bd9ad5533d1d";"7e91592e8cf8b4eb6c0190f16163b05e";NA;21;12;2;21;6.66;34.145;0.24;0;147.5;"16/08/2017";25.89;23.51;32.02;30.04;19.75;16.99;75.2;74.33;97.59;97.32;52.82;51.34;1.04;1.11;21.7;18.95;123.3;17;150.5;127.3;1;"RB966928";"mA";1;1;37;6;12;11;19.9;25.83;17.6;19.58;27.99;30.84;24.32;25.74;11.81;20.81;10.88;13.41;70.03;80.06;78.25;79.27;96.67;99.2;99.97;99.71;43.4;60.92;56.54;58.83;0.73;0.73;0.38;0.55;14.36;17.65;10.32;10.64;41.3;379.1;133.6;105.8;84.5;123.4;49;60.4;0;0;0.79;0;0;"9a6564e67167bff7e7cf99a541a641f1";5.72;"28/05/2016";15;6.6;25;91.165;15.5;0;131.97;88.5;1;24.05;21.35;30.11;29.02;17.99;13.69;76.21;70.08;98.38;96.25;54.04;43.91;1.05;0.91;18.98;18.43;84.6;17.9;125.4;111.1;6.89;"Descanso";7;99;1;196;52;24.74;26.66;18.72;24.85;31.78;32.85;27.2;30.87;17.7;20.48;10.24;18.83;71.87;75.08;69.74;77.25;99.01;97.79;98.18;99.18;44.73;52.38;41.31;55.32;0.58;0.72;0.52;0.67;15.49;21.65;10.17;19.26;6.2;49.7;2.1;109.7;92;131.8;59.9;122.8;0;0;0;0;0;0;"00b6e31e17d62736a81d38e4a61555a3";"06cd248dd1409b804444bd9ad5533d1d";"533cdc5a3315f4fb422de76b8ca6b7d5";5.29;"18M"
1962;21617;"0.0438";"0";"06cd248dd1409b804444bd9ad5533d1d";"7e91592e8cf8b4eb6c0190f16163b05e";9.32;25;12;2;28;4.335;8.255;12.66;0;93;"18/11/2016";25.89;23.51;32.02;30.04;19.75;16.99;75.2;74.33;97.59;97.32;52.82;51.34;1.04;1.11;21.7;18.95;123.3;17;150.5;127.3;1;"RB966928";"mG";1;1;37;6;12;17;19.9;25.83;17.6;19.58;27.99;30.84;24.32;25.74;11.81;20.81;10.88;13.41;70.03;80.06;78.25;79.27;96.67;99.2;99.97;99.71;43.4;60.92;56.54;58.83;0.73;0.73;0.38;0.55;14.36;17.65;10.32;10.64;41.3;379.1;133.6;105.8;84.5;123.4;49;60.4;0;1;0.75;0.99;0;"9a6564e67167bff7e7cf99a541a641f1";5.72;"05/07/2016";15;4.25;29;17.035;63.5;0;29.625;31;1;24.05;21.35;30.11;29.02;17.99;13.69;76.21;70.08;98.38;96.25;54.04;43.91;1.05;0.91;18.98;18.43;84.6;17.9;125.4;111.1;8.76;"Descanso";7;99;1;196;52;24.74;26.66;18.72;24.85;31.78;32.85;27.2;30.87;17.7;20.48;10.24;18.83;71.87;75.08;69.74;77.25;99.01;97.79;98.18;99.18;44.73;52.38;41.31;55.32;0.58;0.72;0.52;0.67;15.49;21.65;10.17;19.26;6.2;49.7;2.1;109.7;92;131.8;59.9;122.8;0;0;0;0.99;0;0;"00b6e31e17d62736a81d38e4a61555a3";"e03a89536262b6a0e2beabd90a841c43";"533cdc5a3315f4fb422de76b8ca6b7d5";3.49;"18M"
1963;21617;"0.0753";"0";"06cd248dd1409b804444bd9ad5533d1d";"7e91592e8cf8b4eb6c0190f16163b05e";9.21;21;12;2;28;4.335;8.255;12.66;0;93;"18/11/2016";25.89;23.51;32.02;30.04;19.75;16.99;75.2;74.33;97.59;97.32;52.82;51.34;1.04;1.11;21.7;18.95;123.3;17;150.5;127.3;1;"RB966928";"mA";1;1;37;6;12;11;19.9;25.83;17.6;19.58;27.99;30.84;24.32;25.74;11.81;20.81;10.88;13.41;70.03;80.06;78.25;79.27;96.67;99.2;99.97;99.71;43.4;60.92;56.54;58.83;0.73;0.73;0.38;0.55;14.36;17.65;10.32;10.64;41.3;379.1;133.6;105.8;84.5;123.4;49;60.4;0;0;0.81;0.99;0;"9a6564e67167bff7e7cf99a541a641f1";5.93;"27/05/2016";15;4.25;29;17.035;63.5;0;29.625;31;1;24.05;21.35;30.11;29.02;17.99;13.69;76.21;70.08;98.38;96.25;54.04;43.91;1.05;0.91;18.98;18.43;84.6;17.9;125.4;111.1;12.54;"Descanso";7;99;1;196;52;24.74;26.66;18.72;24.85;31.78;32.85;27.2;30.87;17.7;20.48;10.24;18.83;71.87;75.08;69.74;77.25;99.01;97.79;98.18;99.18;44.73;52.38;41.31;55.32;0.58;0.72;0.52;0.67;15.49;21.65;10.17;19.26;6.2;49.7;2.1;109.7;92;131.8;59.9;122.8;0;0;0;1.09;0;1;"00b6e31e17d62736a81d38e4a61555a3";"2a099397e2d2dd0f2a2e5a5b4234867d";"533cdc5a3315f4fb422de76b8ca6b7d5";16.17;"18M"
2059;21617;"0.5455";"0";"3a9a9ac6ee90199fb655068018c70f57";"7e91592e8cf8b4eb6c0190f16163b05e";10.78;24;12;2;11.5;4.91;15.41;0.21;0;67.5;"14/10/2016";25.89;23.51;32.02;30.04;19.75;16.99;75.2;74.33;97.59;97.32;52.82;51.34;1.04;1.11;21.7;18.95;123.3;17;150.5;127.3;1;"RB867515";"mD";2;1;50;6;12;14;19.9;25.83;17.6;19.58;27.99;30.84;24.32;25.74;11.81;20.81;10.88;13.41;70.03;80.06;78.25;79.27;96.67;99.2;99.97;99.71;43.4;60.92;56.54;58.83;0.73;0.73;0.38;0.55;14.36;17.65;10.32;10.64;41.3;379.1;133.6;105.8;84.5;123.4;49;60.4;0;0;1.02;1.1;0;"9a6564e67167bff7e7cf99a541a641f1";6;"21/03/2016";15;5.7;37;24.825;22;0;45.145;66.5;1;24.05;21.35;30.11;29.02;17.99;13.69;76.21;70.08;98.38;96.25;54.04;43.91;1.05;0.91;18.98;18.43;84.6;17.9;125.4;111.1;6.11;"Cana Planta - 18 m";20;99;1;178;2;24.74;26.66;18.72;24.85;31.78;32.85;27.2;30.87;17.7;20.48;10.24;18.83;71.87;75.08;69.74;77.25;99.01;97.79;98.18;99.18;44.73;52.38;41.31;55.32;0.58;0.72;0.52;0.67;15.49;21.65;10.17;19.26;6.2;49.7;2.1;109.7;92;131.8;59.9;122.8;0;0;0;1.12;0;0;"e9fe4337400d0ad94510376621f4fd8f";"11946e7a3ed5e1776e81c0f0ecd383d0";"533cdc5a3315f4fb422de76b8ca6b7d5";6.11;"18M"
2060;21617;"0.4944";"0";"3a9a9ac6ee90199fb655068018c70f57";"7e91592e8cf8b4eb6c0190f16163b05e";20.82;24;12;2;13;4.495;15.575;0.275;0;66;"14/10/2016";25.89;23.51;32.02;30.04;19.75;16.99;75.2;74.33;97.59;97.32;52.82;51.34;1.04;1.11;21.7;18.95;123.3;17;150.5;127.3;1;"RB867515";"mD";2;1;50;6;12;14;19.9;25.83;17.6;19.58;27.99;30.84;24.32;25.74;11.81;20.81;10.88;13.41;70.03;80.06;78.25;79.27;96.67;99.2;99.97;99.71;43.4;60.92;56.54;58.83;0.73;0.73;0.38;0.55;14.36;17.65;10.32;10.64;41.3;379.1;133.6;105.8;84.5;123.4;49;60.4;0;0;1.02;1.1;0;"9a6564e67167bff7e7cf99a541a641f1";5.99;"17/02/2016";15;5.35;33.5;26.255;20;0;46.325;69.5;1;24.05;21.35;30.11;29.02;17.99;13.69;76.21;70.08;98.38;96.25;54.04;43.91;1.05;0.91;18.98;18.43;84.6;17.9;125.4;111.1;12.3;"Cana Planta - 18 m";20;99;1;178;2;24.74;26.66;18.72;24.85;31.78;32.85;27.2;30.87;17.7;20.48;10.24;18.83;71.87;75.08;69.74;77.25;99.01;97.79;98.18;99.18;44.73;52.38;41.31;55.32;0.58;0.72;0.52;0.67;15.49;21.65;10.17;19.26;6.2;49.7;2.1;109.7;92;131.8;59.9;122.8;0;0;0;1.12;0;0;"e9fe4337400d0ad94510376621f4fd8f";"234a2a5581872457b9fe1187d1616b13";"533cdc5a3315f4fb422de76b8ca6b7d5";12.3;"18M"
2062;21617;"0.3054";"0";"3a9a9ac6ee90199fb655068018c70f57";"7e91592e8cf8b4eb6c0190f16163b05e";NA;23;12;2;13.5;4.385;14.75;0.21;0;65;"14/10/2016";25.89;23.51;32.02;30.04;19.75;16.99;75.2;74.33;97.59;97.32;52.82;51.34;1.04;1.11;21.7;18.95;123.3;17;150.5;127.3;1;"RB867515";"mD";2;1;50;6;12;14;19.9;25.83;17.6;19.58;27.99;30.84;24.32;25.74;11.81;20.81;10.88;13.41;70.03;80.06;78.25;79.27;96.67;99.2;99.97;99.71;43.4;60.92;56.54;58.83;0.73;0.73;0.38;0.55;14.36;17.65;10.32;10.64;41.3;379.1;133.6;105.8;84.5;123.4;49;60.4;0;0;1.04;1.01;0;"9a6564e67167bff7e7cf99a541a641f1";5.65;"21/03/2016";15;5.25;36;26.76;19;0;45.895;70;1;24.05;21.35;30.11;29.02;17.99;13.69;76.21;70.08;98.38;96.25;54.04;43.91;1.05;0.91;18.98;18.43;84.6;17.9;125.4;111.1;19.21;"Cana Planta - 18 m";20;99;1;178;2;24.74;26.66;18.72;24.85;31.78;32.85;27.2;30.87;17.7;20.48;10.24;18.83;71.87;75.08;69.74;77.25;99.01;97.79;98.18;99.18;44.73;52.38;41.31;55.32;0.58;0.72;0.52;0.67;15.49;21.65;10.17;19.26;6.2;49.7;2.1;109.7;92;131.8;59.9;122.8;0;0;0;1;0;0;"e9fe4337400d0ad94510376621f4fd8f";"25e6a154090e35101d7678d6f034353a";"533cdc5a3315f4fb422de76b8ca6b7d5";16.75;"18M"
2271;21617;"0.0014";"0";"4b5630ee914e848e8d07221556b0a2fb";"bb4b9c9cb3eb0376a9c896805d07adcb";NA;NA;5;2;13;0.325;9.635;0.275;0;47.5;"07/07/2017";27.33;25.43;32.85;32.07;21.81;18.79;75.62;70.04;96.4;93.89;54.84;46.2;1.34;1.62;22.02;20.64;21.9;17.9;157.8;151.4;1;"CTC9001";"ADF";1;99;37;2;12;99;22.65;25.93;18.64;21.54;30.23;31.31;26.2;27.22;15.08;21.29;12.65;15.86;64.33;81.54;72.66;77.67;90.94;98.08;93.37;97.38;37.73;61.57;42.21;57.96;1.57;0.97;1.03;1.24;17.03;19.44;13.9;13.79;3.1;267.5;32.3;1.2;119.1;134.18;75.31;83.1;0.95;0;1;0.94;0;"c0599eaf8f88db0115df30870dfe20ec";NA;"01/12/2016";13;5.8;4;20.46;17;0;30.42;63;1;26.01;22.91;31.83;29.96;20.18;15.86;72.91;65.45;94.48;90.15;51.35;40.74;1.46;1.42;22.25;19.46;4;0.6;152.3;130.1;10.86;"Descanso";999;99;99;548;1;26.51;27.97;19.81;25.98;33.71;34.44;29.31;32.71;19.31;21.54;11.98;21.02;65.49;75.05;59.3;74.47;93.52;98.14;87.03;93.19;37.46;51.72;26.81;46.79;1.18;0.44;1.2;1.18;19.64;21.16;15.74;19.73;0.3;95.7;9.6;106.2;127.2;128.95;99.63;139.11;1;0;1;0.96;0;0;"4f520a624fcf8896fb441028cb159edf";"4b5630ee914e848e8d07221556b0a2fb";"88ffb5f230a327966f68b1e6093a24be";7.41;"Ano"
