"Perc_Falha";"Perc_Infest_Inv";"Ciclo";"CD_CLAS_DECL";"QT_IDMIN_PLA";"QT_IDMAX_PLA";"CD_SIST_PLAN";"Variedade";"Estagio";"Ambiente";"Ph";"Mo";"P";"K";"Ca";"Mg";"H_al";"Al";"S";"Sb";"Ctc";"V";"CORR_T";"FERT_KG";"FERT_L";"FUNG_L";"HERB_L";"INSET_KG";"INSET_L";"RESI_M3";"RESI_T";"Temp_Med";"Temp_max";"Temp_min";"UR_med";"UR_max";"Ur_min";"Vel_vento_ms";"Rad_Solar_MJm2";"Chuva";"EPT_mm"
0.0086;0;"18M";1;12;15;6;"RB855156";"1o. Corte - 18 Meses";4;4.55;7;28.25;1.155;7.25;5.3;21.51;1.5;0;13.705;35;39;0;0;0.97;0;1.01;1;0;0;0;26.64;33.76;19.685;69.94;94.8;44.665;0.75;18.405;87.4;121.375
0.028;0;"18M";1;12;15;6;"RB855156";"Cana Planta - 18 m";4;5.05;5.5;3.8;0.755;7.15;4.25;17.04;0.05;0;12.155;29.5;40.5;0;0;0.95;0;1.17;1;0;0;0;21.78;30.155;13.405;65.1;92.27;37.93;1.1;15.22;62.35;98.15
0.0014;0;"18M";1;12;15;6;"RB966928";"Descanso";4;3.85;12.5;27;1.47;2.71;1.93;27.5;9;0;6.11;33.5;17.5;1.02;0;0;1.03;1.01;1;1.06;0;1;17.77;23.465;12.08;77.605;98.775;54.425;1.1;13.955;58.7;69.66
0.3009;0;"18M";1;12;15;6;"RB966928";"Descanso";1;5;14;5;2.92;22.565;9.305;13.5;0.2;0;34.79;48;72;0;0;0;0;0.79;0;0;0;0;18.59;25.03;12.145;78.76;99.84;57.685;0.465;10.48;119.7;54.7
0.0438;0;"18M";1;12;15;6;"RB966928";"Descanso";7;5;14;5;2.92;22.565;9.305;13.5;0.2;0;34.79;48;72;0;0;0;1;0.75;0.99;0.99;0;0;18.16;25.76;10.56;73.995;99.075;48.925;0.45;10.245;67.85;54.45
0.0753;0;"18M";1;12;15;6;"RB966928";"Descanso";1;5;14;5;2.92;22.565;9.305;13.5;0.2;0;34.79;48;72;0;0;0;0;0.81;1.09;0.99;0;1;18.59;25.03;12.145;78.76;99.84;57.685;0.465;10.48;119.7;54.7
0.5455;0;"18M";2;12;15;6;"RB867515";"Cana Planta - 18 m";4;5;14;5;2.92;22.565;9.305;13.5;0.2;0;34.79;48;72;0;0;0;0;1.02;1.12;1.1;0;0;24.795;31.325;18.265;74.56;99.095;50.025;0.625;17.375;57.95;107.4
0.4944;0;"18M";2;12;15;6;"RB867515";"Cana Planta - 18 m";4;5;14;5;2.92;22.565;9.305;13.5;0.2;0;34.79;48;72;0;0;0;0;1.02;1.12;1.1;0;0;25.755;31.86;19.655;76.165;98.485;53.85;0.695;20.455;79.7;127.3
0.3054;0;"18M";2;12;15;6;"RB867515";"Cana Planta - 18 m";4;5;14;5;2.92;22.565;9.305;13.5;0.2;0;34.79;48;72;0;0;0;0;1.04;1;1.01;0;0;24.795;31.325;18.265;74.56;99.095;50.025;0.625;17.375;57.95;107.4
0.0014;0;"Ano";1;5;13;2;"CTC9001";"Descanso";NA;5;14;5;2.92;22.565;9.305;13.5;0.2;0;34.79;48;72;1;0;0.95;0;1;0.96;0.94;0;0;26.67;32.34;20.995;74.265;95.44;53.095;1.4;22.135;12.95;155.05
